aita,cs,attention,gender_studies
-0.13038968,-0.19961046,0.016418528,-0.13436596
0.08777408,-0.0072243838,-0.052509557,-0.009844084
0.0826926,0.057021365,0.034282133,0.108507425
0.12684202,0.056465454,-0.157986,0.12609741
0.05680514,0.032950174,-0.015973005,0.013735441
0.031257097,0.18075107,0.063006766,0.049189843
0.07692433,-0.07411266,-0.12653624,0.02221652
0.048564803,0.004325011,0.039669894,0.070874594
0.13681993,0.17399594,0.051975805,0.14941514
-0.09286306,-0.10680333,-0.100717515,-0.057283387
-0.049273007,-0.05037482,-0.014258577,-0.17413285
-0.046024013,0.11492892,0.09691813,0.07104676
-0.05869968,0.00635158,0.014676383,0.01873953
0.10460214,-0.07613991,-0.03524114,-0.0532283
0.043877125,-0.110760406,-0.18045023,-0.05247386
0.11335695,0.085618846,-0.039781228,-0.0097969845
0.051414352,0.022011682,-0.03378027,-0.011649978
0.027854446,-0.09159833,-0.103482,-0.012992075
-0.11174221,0.009152794,-0.025561359,0.077846006
-0.15431696,0.09950028,-0.016887259,-0.018143792
0.29824048,0.23171647,0.25430682,0.23235694
-0.010872448,-0.19193266,-0.068620816,-0.031991497
0.10284845,0.18473755,-0.082684845,0.15478753
-0.05581846,0.027342035,0.09270961,-0.06648213
0.18049017,0.16084437,0.24609447,0.16717982
-0.114356324,-0.2303721,-0.166071,-0.06510305
0.32436448,0.14943178,0.23564383,0.07523083
-0.069586635,-0.067325585,0.06149301,-0.13151865
0.15543814,0.032375373,0.007783753,0.099498145
-0.12439849,-0.124484226,-0.1801427,-0.20444025
-0.08446366,0.025851494,-0.14223467,-0.0154719865
-0.12480001,-0.28301346,-0.12053621,-0.22104706
0.1691055,0.12507138,0.04462876,0.06758762
0.09934188,0.059334807,-0.008680656,-0.015071327
-0.0010250412,0.05047578,0.27002808,0.09599985
-0.1302219,-0.10989053,0.2583828,0.024843303
-0.055541147,0.025927335,-0.010493092,-0.069431946
-0.13750635,-0.040291544,-0.005286895,-0.027187685
-0.10270406,0.03321328,0.1422584,-0.12420389
-0.03799369,0.13172111,0.18224975,-0.024814675
-0.24304576,-0.14453985,0.14057077,-0.10998583
-0.19916074,-0.1288929,-0.07032445,-0.1505582
0.207981,0.054727346,0.14918147,0.23426391
-0.14527045,-0.12201417,0.04422808,-0.18200108
0.016323488,-0.10063371,-0.070720635,0.035499133
-0.03041123,-0.11826713,-0.22345039,-0.10877646
-0.04890232,-0.17869763,0.020111559,0.113790184
0.30021572,0.07289145,-0.11726795,0.06076864
0.05258784,-0.005106018,0.04289476,-0.063233025
-0.08204483,0.008446907,0.048060294,-0.1556675
0.2683279,0.098985724,-0.003525576,0.11505044
0.022926694,0.12473418,-0.031883344,0.01751589
0.1391151,-0.03124144,-0.19642216,-0.09566305
-0.19903989,-0.17770937,-0.24248333,-0.15297739
0.035558693,0.021960909,0.14255913,-0.13472164
0.03844296,0.05736337,-0.110538706,0.01776345
-0.08510973,-0.07109447,-0.05841638,-0.23206142
0.03760852,-0.013767105,0.19677122,-0.019345596
0.0695207,0.1276125,0.14100057,0.23374447
0.19244695,0.07496645,-0.029000558,0.012921744
-0.07676409,-0.14061502,-0.2640037,-0.023586804
-0.15674259,0.08615797,0.107062496,-0.011872027
-0.12586845,0.017323902,0.028331105,0.062834054
0.04676462,0.14020221,0.05178927,0.1370581
-0.07539024,-0.11925365,-0.08723499,-0.004530213
-0.08732998,0.09521895,0.05665802,-0.09236688
0.0374779,0.083535984,0.05548565,0.059281353
0.08083009,-0.03645932,0.15054463,-0.08519491
-0.02919696,-0.059308246,-0.02027444,0.05740919
-0.003914903,0.05797206,0.036672417,0.035117652
-0.05388204,-0.050956305,0.24411157,-0.12994656
-0.07757383,-0.087565124,0.13897495,-0.14474605
0.06828013,-0.05725084,0.015183332,0.18220739
0.0737689,0.019663023,0.024599591,0.09395047
0.107881404,0.049180027,-0.047818974,0.03055337
-0.08043109,0.13055432,-0.11951181,0.0188357
-0.1101133,0.028307341,-0.0008316471,-0.0875277
-0.07859031,-0.105136916,-0.070026025,-0.08155956
-0.05971325,-0.05406175,0.042059813,-0.06438073
0.14536808,-0.048975095,-0.23292878,0.01809105
-0.05272273,0.018532423,-0.04797826,-0.17257947
